"parents","n","labels","id"
"Denmark",5,"History","Denmark  -  History"
"Denmark",21,"Horror","Denmark  -  Horror"
"Denmark",5,"Music","Denmark  -  Music"
"Denmark",1,"Musical","Denmark  -  Musical"
"Denmark",51,"Mystery","Denmark  -  Mystery"
"Denmark",29,"Reality TV","Denmark  -  Reality TV"
"Denmark",88,"Romance","Denmark  -  Romance"
"Denmark",18,"Sci Fi","Denmark  -  Sci Fi"
"Denmark",3,"Short","Denmark  -  Short"
"Denmark",11,"Sport","Denmark  -  Sport"
"Denmark",59,"Thriller","Denmark  -  Thriller"
"Denmark",9,"War","Denmark  -  War"
"Denmark",1,"Western","Denmark  -  Western"
"Dominican Republic",171,"Action","Dominican Republic  -  Action"
"Dominican Republic",2,"Adult","Dominican Republic  -  Adult"
"Dominican Republic",108,"Adventure","Dominican Republic  -  Adventure"
"Dominican Republic",53,"Animation","Dominican Republic  -  Animation"
"Dominican Republic",8,"Biography","Dominican Republic  -  Biography"
"Dominican Republic",157,"Comedy","Dominican Republic  -  Comedy"
"Dominican Republic",117,"Crime","Dominican Republic  -  Crime"
"Dominican Republic",19,"Documentary","Dominican Republic  -  Documentary"
"Dominican Republic",294,"Drama","Dominican Republic  -  Drama"
"Dominican Republic",14,"Family","Dominican Republic  -  Family"
"Dominican Republic",35,"Fantasy","Dominican Republic  -  Fantasy"
"Dominican Republic",2,"Game Show","Dominican Republic  -  Game Show"
"Dominican Republic",24,"Horror","Dominican Republic  -  Horror"
"Dominican Republic",34,"Music","Dominican Republic  -  Music"
"Dominican Republic",1,"Musical","Dominican Republic  -  Musical"
"Dominican Republic",47,"Mystery","Dominican Republic  -  Mystery"
"Dominican Republic",3,"Reality TV","Dominican Republic  -  Reality TV"
"Dominican Republic",88,"Romance","Dominican Republic  -  Romance"
"Dominican Republic",17,"Sci Fi","Dominican Republic  -  Sci Fi"
"Dominican Republic",2,"Short","Dominican Republic  -  Short"
"Dominican Republic",6,"Sport","Dominican Republic  -  Sport"
"Dominican Republic",71,"Thriller","Dominican Republic  -  Thriller"
"Dominican Republic",2,"War","Dominican Republic  -  War"
"Ecuador",147,"Action","Ecuador  -  Action"
"Ecuador",2,"Adult","Ecuador  -  Adult"
"Ecuador",120,"Adventure","Ecuador  -  Adventure"
"Ecuador",71,"Animation","Ecuador  -  Animation"
"Ecuador",5,"Biography","Ecuador  -  Biography"
"Ecuador",207,"Comedy","Ecuador  -  Comedy"
"Ecuador",94,"Crime","Ecuador  -  Crime"
"Ecuador",14,"Documentary","Ecuador  -  Documentary"
"Ecuador",283,"Drama","Ecuador  -  Drama"
"Ecuador",13,"Family","Ecuador  -  Family"
"Ecuador",25,"Fantasy","Ecuador  -  Fantasy"
"Ecuador",23,"Horror","Ecuador  -  Horror"
"Ecuador",33,"Music","Ecuador  -  Music"
"Ecuador",1,"Musical","Ecuador  -  Musical"
"Ecuador",39,"Mystery","Ecuador  -  Mystery"
"Ecuador",3,"Reality TV","Ecuador  -  Reality TV"
"Ecuador",102,"Romance","Ecuador  -  Romance"
"Ecuador",16,"Sci Fi","Ecuador  -  Sci Fi"
"Ecuador",6,"Sport","Ecuador  -  Sport"
"Ecuador",62,"Thriller","Ecuador  -  Thriller"
"Ecuador",2,"War","Ecuador  -  War"
"Egypt",184,"Action","Egypt  -  Action"
"Egypt",3,"Adult","Egypt  -  Adult"
"Egypt",104,"Adventure","Egypt  -  Adventure"
"Egypt",55,"Animation","Egypt  -  Animation"
"Egypt",17,"Biography","Egypt  -  Biography"
"Egypt",189,"Comedy","Egypt  -  Comedy"
"Egypt",117,"Crime","Egypt  -  Crime"
"Egypt",26,"Documentary","Egypt  -  Documentary"
"Egypt",338,"Drama","Egypt  -  Drama"
"Egypt",15,"Family","Egypt  -  Family"
"Egypt",34,"Fantasy","Egypt  -  Fantasy"
"Egypt",7,"Game Show","Egypt  -  Game Show"
"Egypt",5,"History","Egypt  -  History"
"Egypt",27,"Horror","Egypt  -  Horror"
"Egypt",4,"Music","Egypt  -  Music"
"Egypt",41,"Mystery","Egypt  -  Mystery"
"Egypt",9,"Reality TV","Egypt  -  Reality TV"
"Egypt",87,"Romance","Egypt  -  Romance"
"Egypt",26,"Sci Fi","Egypt  -  Sci Fi"
"Egypt",19,"Short","Egypt  -  Short"
"Egypt",4,"Sport","Egypt  -  Sport"
"Egypt",63,"Thriller","Egypt  -  Thriller"
"Egypt",3,"War","Egypt  -  War"
"El Salvador",139,"Action","El Salvador  -  Action"
"El Salvador",2,"Adult","El Salvador  -  Adult"
"El Salvador",107,"Adventure","El Salvador  -  Adventure"
"El Salvador",65,"Animation","El Salvador  -  Animation"
"El Salvador",4,"Biography","El Salvador  -  Biography"
"El Salvador",193,"Comedy","El Salvador  -  Comedy"
"El Salvador",110,"Crime","El Salvador  -  Crime"
"El Salvador",12,"Documentary","El Salvador  -  Documentary"
"El Salvador",301,"Drama","El Salvador  -  Drama"
"El Salvador",13,"Family","El Salvador  -  Family"
"El Salvador",22,"Fantasy","El Salvador  -  Fantasy"
"El Salvador",19,"Horror","El Salvador  -  Horror"
"El Salvador",32,"Music","El Salvador  -  Music"
"El Salvador",39,"Mystery","El Salvador  -  Mystery"
"El Salvador",2,"Reality TV","El Salvador  -  Reality TV"
"El Salvador",110,"Romance","El Salvador  -  Romance"
"El Salvador",15,"Sci Fi","El Salvador  -  Sci Fi"
"El Salvador",7,"Sport","El Salvador  -  Sport"
"El Salvador",60,"Thriller","El Salvador  -  Thriller"
"El Salvador",2,"War","El Salvador  -  War"
"Estonia",181,"Action","Estonia  -  Action"
"Estonia",3,"Adult","Estonia  -  Adult"
"Estonia",122,"Adventure","Estonia  -  Adventure"
"Estonia",59,"Animation","Estonia  -  Animation"
"Estonia",16,"Biography","Estonia  -  Biography"
"Estonia",205,"Comedy","Estonia  -  Comedy"
"Estonia",110,"Crime","Estonia  -  Crime"
"Estonia",32,"Documentary","Estonia  -  Documentary"
"Estonia",274,"Drama","Estonia  -  Drama"
"Estonia",20,"Family","Estonia  -  Family"
"Estonia",43,"Fantasy","Estonia  -  Fantasy"
"Estonia",14,"Game Show","Estonia  -  Game Show"
"Estonia",1,"History","Estonia  -  History"
"Estonia",25,"Horror","Estonia  -  Horror"
"Estonia",4,"Music","Estonia  -  Music"
"Estonia",1,"Musical","Estonia  -  Musical"
"Estonia",56,"Mystery","Estonia  -  Mystery"
"Estonia",21,"Reality TV","Estonia  -  Reality TV"
"Estonia",75,"Romance","Estonia  -  Romance"
